,brand,milage,fuel_type,transmission,price,horsepower,engine_displacement,age
5619,BMW,27965,Gasoline,7-Speed A/T,65000,4.4,560.0,8
5620,RAM,10458,Gasoline,8-Speed Automatic,44950,5.7,331.6983232435877,2
5621,Ford,117000,Gasoline,A/T,16500,2.3,300.0,8
5623,Chevrolet,40000,Gasoline,6-Speed M/T,53000,6.2,455.0,6
5624,Chevrolet,30761,Gasoline,Automatic,44791,5.3,331.6983232435877,2
5626,Jeep,52000,Gasoline,A/T,17500,3.8,202.0,16
5627,Mazda,60942,Gasoline,6-Speed Automatic,34645,2.5,331.6983232435877,3
5628,Chevrolet,53433,Gasoline,A/T,34500,6.0,400.0,18
5629,Honda,64200,Hybrid,CVT Transmission,20499,1.5,151.0,3
5630,Mercedes-Benz,57550,Gasoline,A/T,19975,3.5,248.0,9
5631,Ford,40971,Gasoline,10-Speed A/T,46500,2.7,325.0,3
5632,Chevrolet,13300,Gasoline,8-Speed A/T,42500,6.2,490.0,3
5633,BMW,1300,Gasoline,8-Speed A/T,61900,4.4,445.0,2
5634,Saturn,165000,Gasoline,A/T,4000,2.0,260.0,16
5635,Ford,104000,Gasoline,A/T,17500,3.5,310.0,10
5636,GMC,139804,E85 Flex Fuel,A/T,17900,6.0,341.0,7
5637,Lotus,106000,Gasoline,6-Speed M/T,24500,3.5,276.0,15
5638,Mercedes-Benz,138050,Gasoline,Transmission w/Dual Shift Mode,16500,4.7,335.0,13
5640,Nissan,80000,Gasoline,A/T,12000,4.0,261.0,12
5641,Mercedes-Benz,22000,Gasoline,A/T,59500,4.0,463.0,4
5643,Ford,163000,Diesel,5-Speed A/T,37000,6.0,325.0,20
5644,Land,25000,Gasoline,Transmission w/Dual Shift Mode,65000,5.0,518.0,7
5646,Subaru,178000,Gasoline,A/T,7200,2.5,170.0,16
5648,Porsche,34580,Gasoline,Transmission w/Dual Shift Mode,43500,3.0,335.0,4
5649,Chevrolet,102200,Gasoline,6-Speed A/T,32000,5.3,355.0,8
5650,Chevrolet,92530,E85 Flex Fuel,10-Speed A/T,19212,5.3,355.0,6
5652,Maserati,33300,Gasoline,8-Speed A/T,34500,3.0,424.0,6
5653,BMW,60000,Gasoline,6-Speed M/T,18000,3.0,300.0,15
5654,Audi,44000,Gasoline,7-Speed A/T,32900,3.0,333.0,9
5655,Lincoln,52500,Gasoline,10-Speed A/T,23000,3.5,450.0,6
5656,Chevrolet,92700,Gasoline,6-Speed A/T,19975,5.3,355.0,10
5657,Audi,71280,Gasoline,A/T,15000,3.0,333.0,5
5658,Dodge,16800,Diesel,6-Speed A/T,40500,7.3,250.0,11
5659,Jeep,86250,Gasoline,8-Speed Automatic,35297,2.0,331.6983232435877,4
5660,Jeep,73837,Gasoline,8-Speed Automatic,33687,3.6,331.6983232435877,3
5661,Porsche,67500,Gasoline,Transmission w/Dual Shift Mode,26500,3.8,580.0,6
5662,Dodge,65000,Gasoline,5-Speed M/T,9450,2.0,160.0,14
5663,Chevrolet,64500,Gasoline,Transmission w/Dual Shift Mode,35000,6.2,455.0,8
5664,Porsche,124000,Gasoline,A/T,29000,3.6,420.0,10
5665,Lexus,57500,Gasoline,Transmission w/Dual Shift Mode,33490,3.5,306.0,6
5666,GMC,45617,Gasoline,10-Speed A/T,34900,6.2,420.0,6
5667,Porsche,96273,Gasoline,8-Speed A/T,32000,3.6,420.0,8
5669,Audi,35850,Gasoline,Transmission w/Dual Shift Mode,51000,2.0,252.0,7
5670,Cadillac,61341,Gasoline,8-Speed Automatic,26299,2.0,331.6983232435877,6
5671,Chevrolet,195361,Gasoline,6-Speed A/T,26095,5.3,355.0,8
5672,Mercedes-Benz,60100,Gasoline,Transmission w/Dual Shift Mode,18500,5.4,362.0,20
5674,Toyota,67072,Gasoline,A/T,32000,3.5,295.0,4
5675,BMW,43000,Gasoline,8-Speed A/T,40000,3.0,335.0,5
5676,Ford,63172,Gasoline,6-Speed A/T,37000,3.5,365.0,8
5677,Buick,123500,Gasoline,6-Speed A/T,18000,3.6,288.0,11
5678,Audi,185000,Gasoline,A/T,13500,2.0,180.0,8
5680,Chevrolet,89148,E85 Flex Fuel,A/T,17500,3.6,290.0,8
5681,Volkswagen,98700,Gasoline,A/T,14980,2.5,170.0,9
5683,Porsche,67726,Gasoline,Transmission w/Dual Shift Mode,27500,4.8,520.0,6
5684,Porsche,31654,Gasoline,7-Speed Manual,23754,3.0,331.6983232435877,5
5685,Jeep,12500,Gasoline,A/T,45000,3.6,285.0,2
5686,Audi,53500,Gasoline,8-Speed A/T,53499,3.0,354.0,6
5687,Ford,54357,Gasoline,6-Speed A/T,24500,1.6,173.0,9
5688,Ford,73837,Gasoline,10-Speed Automatic,41299,3.5,331.6983232435877,6
5689,Nissan,26100,Gasoline,A/T,25500,2.5,170.0,7
5690,Tesla,51351,Gasoline,Automatic,43147,5.6,331.6983232435877,3
5691,Chevrolet,106000,Gasoline,A/T,10500,5.7,310.0,14
5692,GMC,47589,Gasoline,A/T,31000,5.3,355.0,7
5694,BMW,98000,Gasoline,A/T,16500,3.0,300.0,10
5695,Ford,118000,Gasoline,6-Speed A/T,15400,3.5,262.0,15
5696,Audi,44261,Gasoline,6-Speed M/T,24899,3.0,333.0,10
5697,Audi,61450,Gasoline,A/T,26500,3.0,333.0,11
5698,Volvo,95798,Gasoline,6-Speed M/T,14000,2.0,200.0,16
5699,BMW,60000,Gasoline,8-Speed A/T,35000,4.4,445.0,7
5700,Chevrolet,66500,Gasoline,A/T,27500,5.7,310.0,5
5701,Toyota,5200,Hybrid,10-Speed A/T,59750,3.4,437.0,1
5702,Ford,57000,Gasoline,6-Speed A/T,27000,3.5,365.0,7
5703,Mercedes-Benz,51354,Gasoline,8-Speed Automatic,41688,4.0,331.6983232435877,3
5705,Ford,186268,E85 Flex Fuel,8-Speed A/T,15500,3.0,240.0,12
5706,Land,174678,Gasoline,A/T,9500,3.0,340.0,12
5708,Audi,40000,Hybrid,8-Speed A/T,33900,3.0,335.0,5
5711,Porsche,105000,Gasoline,8-Speed A/T,30000,3.6,420.0,9
5712,Mercedes-Benz,24500,Gasoline,A/T,44000,5.5,382.0,12
5713,Dodge,75539,Gasoline,5-Speed M/T,17800,2.0,160.0,11
5714,Hyundai,87305,Gasoline,6-Speed A/T,29900,3.8,311.0,11
5716,Lexus,116600,Gasoline,5-Speed A/T,20470,4.7,263.0,14
5718,BMW,122000,Gasoline,6-Speed M/T,11500,4.0,414.0,16
5719,BMW,45253,Plug-In Hybrid,Transmission w/Dual Shift Mode,24995,2.0,247.0,7
5720,Porsche,95170,Gasoline,Transmission w/Dual Shift Mode,22500,3.2,280.0,19
5721,Mazda,5093,Gasoline,6-Speed M/T,15000,2.0,181.0,14
5722,Ford,66500,Gasoline,6-Speed M/T,31500,5.4,550.0,11
5723,Jeep,25000,Gasoline,8-Speed A/T,42000,3.6,285.0,3
5724,Hyundai,145000,Gasoline,A/T,4200,3.3,242.0,17
5725,RAM,140500,Gasoline,A/T,14000,5.7,395.0,13
5726,INFINITI,25000,Gasoline,CVT Transmission,47000,3.5,295.0,2
5727,Volvo,56578,Gasoline,8-Speed A/T,19500,2.0,250.0,5
5728,Nissan,62930,Gasoline,5-Speed A/T,13500,4.0,261.0,16
5729,Ford,38560,Gasoline,10-Speed A/T,43000,2.7,325.0,3
5730,Ford,51000,Gasoline,A/T,37000,3.5,310.0,6
5731,Lincoln,117292,Gasoline,A/T,12000,2.0,240.0,9
5733,Ford,110000,Gasoline,6-Speed M/T,21500,2.0,252.0,10
5735,Chevrolet,170000,Gasoline,A/T,4700,4.8,285.0,19
5737,Lincoln,67015,Gasoline,A/T,26500,2.7,335.0,5
5738,Toyota,61341,Gasoline,8-Speed Automatic,44775,3.5,331.6983232435877,1
5739,Chevrolet,67500,Gasoline,6-Speed A/T,34500,5.3,355.0,6
5740,Mercedes-Benz,63000,Gasoline,7-Speed A/T,48000,4.0,469.0,6
5741,Land,61000,Gasoline,Transmission w/Dual Shift Mode,51000,3.0,340.0,7
5742,Chevrolet,38718,Gasoline,Transmission w/Dual Shift Mode,57000,6.2,490.0,2
5743,Lexus,126760,Gasoline,A/T,15000,4.6,386.0,10
5744,Ford,37100,Diesel,10-Speed A/T,36570,6.7,475.0,5
5745,Audi,96275,Gasoline,6-Speed A/T,10200,2.0,200.0,12
5746,Audi,72865,Gasoline,Transmission w/Dual Shift Mode,32500,3.0,335.0,6
5747,Jeep,79422,Gasoline,A/T,18800,3.8,202.0,15
5749,Mazda,52000,Gasoline,6-Speed M/T,17495,2.0,181.0,3
5750,Mercedes-Benz,81000,Gasoline,A/T,13500,3.5,302.0,11
5751,Audi,53450,Gasoline,A/T,32100,2.0,248.0,7
5752,BMW,125500,Gasoline,5-Speed A/T,3550,2.5,184.0,19
5753,Ford,162100,E85 Flex Fuel,A/T,20900,5.4,255.0,11
5754,BMW,49208,Hybrid,Transmission w/Dual Shift Mode,47850,3.0,382.0,3
5755,Lexus,86818,Gasoline,6-Speed A/T,20000,2.5,204.0,13
5756,Dodge,91843,Gasoline,A/T,33580,3.7,210.0,17
5757,Mercedes-Benz,53705,Gasoline,A/T,25900,2.0,241.0,6
5758,Toyota,201509,Gasoline,A/T,15500,4.7,282.0,19
5760,Nissan,87500,Gasoline,A/T,16750,3.5,306.0,9
5761,Jaguar,41452,Gasoline,Transmission w/Dual Shift Mode,19000,2.0,247.0,6
5762,INFINITI,70500,Gasoline,A/T,22000,3.5,265.0,11
5763,Nissan,23131,Gasoline,Automatic CVT,45277,2.5,331.6983232435877,4
5764,Jeep,13650,Gasoline,5-Speed A/T,56740,3.6,285.0,6
5765,Mercedes-Benz,25108,Gasoline,7-Speed A/T,64000,5.5,577.0,10
5767,Lexus,67874,Gasoline,6-Speed A/T,31750,3.5,260.0,6
5768,Ford,53000,Gasoline,6-Speed M/T,21900,3.5,262.0,12
5769,Volkswagen,89999,Gasoline,6-Speed M/T,29999,2.0,256.0,11
5770,Mercedes-Benz,128000,Gasoline,A/T,32000,5.4,362.0,8
5771,GMC,86000,Diesel,6-Speed A/T,22500,6.6,445.0,7
5772,Tesla,114000,Gasoline,A/T,8800,3.5,265.0,13
5773,Land,29140,Hybrid,A/T,46500,3.0,395.0,2
5775,Dodge,97579,Gasoline,6-Speed A/T,2500,3.6,283.0,11
5776,BMW,55250,Gasoline,6-Speed M/T,49999,3.0,425.0,8
5777,Volkswagen,44600,Gasoline,7-Speed A/T,35000,2.0,292.0,6
5778,Audi,22500,Hybrid,8-Speed A/T,46000,2.0,331.6983232435877,2
5779,Nissan,132272,Gasoline,M/T,11000,4.0,261.0,13
5780,Acura,102665,Gasoline,A/T,21500,3.7,305.0,8
5781,Cadillac,106500,Gasoline,6-Speed A/T,23000,6.2,420.0,8
5782,Ford,94650,Gasoline,6-Speed A/T,51500,3.5,365.0,8
5783,Chevrolet,143095,Gasoline,A/T,7200,6.0,400.0,17
5784,GMC,103500,Gasoline,A/T,37000,5.3,355.0,9
5786,Ford,80800,Gasoline,6-Speed A/T,10000,2.5,175.0,10
5787,Mazda,83150,Gasoline,A/T,21750,2.3,244.0,17
5788,Chevrolet,8660,Gasoline,8-Speed A/T,26500,6.2,455.0,6
5789,Dodge,61454,Gasoline,Transmission w/Dual Shift Mode,28499,3.6,292.0,7
5790,BMW,50000,Gasoline,A/T,28500,2.0,248.0,6
5791,Land,117200,Gasoline,6-Speed A/T,36000,5.0,510.0,7
5792,BMW,76495,Gasoline,A/T,19500,2.0,248.0,9
5793,Lexus,123256,Gasoline,8-Speed A/T,23500,4.6,380.0,11
5795,Volkswagen,122000,Gasoline,6-Speed M/T,11500,2.0,200.0,16
5796,Buick,22295,Gasoline,6-Speed Automatic,18950,2.5,331.6983232435877,4
5797,Cadillac,31500,Gasoline,A/T,55000,6.2,420.0,3
5798,Lexus,85500,Gasoline,6-Speed A/T,15000,4.6,386.0,10
5799,Chevrolet,4753,Gasoline,8-Speed A/T,45000,6.2,455.0,4
5800,BMW,39000,Gasoline,8-Speed A/T,49000,4.4,540.0,7
5801,Mercedes-Benz,76170,Gasoline,A/T,16500,2.0,208.0,8
5802,Lexus,119000,Gasoline,A/T,20500,3.5,268.0,7
5803,BMW,28000,Gasoline,Transmission w/Dual Shift Mode,32500,3.0,300.0,9
5804,Volvo,107500,Gasoline,6-Speed A/T,12500,3.2,240.0,13
5805,Ford,39000,Diesel,A/T,59200,6.7,450.0,4
5806,Acura,73500,Gasoline,10-Speed A/T,20490,3.5,290.0,7
5807,Acura,106335,Gasoline,Transmission w/Dual Shift Mode,24000,3.7,300.0,14
5808,BMW,114323,Gasoline,A/T,8000,3.0,225.0,20
5809,GMC,110000,Gasoline,A/T,7200,4.8,275.0,13
5810,Audi,160000,E85 Flex Fuel,8-Speed A/T,6750,2.0,220.0,10
5811,Cadillac,39000,Gasoline,8-Speed A/T,29000,6.2,420.0,9
5812,Mercedes-Benz,74000,Gasoline,A/T,37000,4.0,416.0,7
5813,Ford,157500,Diesel,A/T,12000,6.4,350.0,20
5814,Subaru,127818,Gasoline,6-Speed A/T,15000,2.0,200.0,11
5815,BMW,41000,Hybrid,8-Speed A/T,50000,3.0,335.0,3
5816,Chevrolet,170000,Gasoline,A/T,5995,5.7,340.0,26
5817,Land,58000,Gasoline,A/T,29000,2.0,240.0,5
5818,BMW,37000,Gasoline,8-Speed A/T,59335,3.0,335.0,4
5819,Toyota,161000,Gasoline,A/T,20490,3.5,270.0,8
5820,Nissan,135000,Gasoline,A/T,17900,3.5,260.0,10
5821,Mercedes-Benz,13900,Gasoline,Transmission w/Dual Shift Mode,45999,4.7,429.0,9
5822,Cadillac,170000,Gasoline,A/T,4900,3.6,304.0,13
5823,Toyota,57939,Gasoline,A/T,5899,1.8,132.0,15
5824,Ford,104000,Gasoline,A/T,19995,3.5,365.0,17
5825,Audi,137273,Gasoline,6-Speed A/T,11000,2.0,211.0,13
5826,Tesla,10550,Gasoline,A/T,21000,3.716927534611586,518.0,6
5827,Nissan,36500,Gasoline,A/T,4199,4.0,261.0,12
5829,Volkswagen,74030,Gasoline,6-Speed M/T,19500,2.0,210.0,8
5830,Porsche,17000,Hybrid,7-Speed A/T,33400,3.0,335.0,5
5831,BMW,37000,Gasoline,Transmission w/Dual Shift Mode,24995,4.4,560.0,10
5832,Subaru,71448,Gasoline,6-Speed M/T,22000,2.0,200.0,11
5833,Jaguar,67000,Gasoline,Transmission w/Dual Shift Mode,34250,2.0,247.0,6
5834,Toyota,222600,Gasoline,M/T,5995,4.0,245.0,21
5835,GMC,52000,Gasoline,A/T,56000,5.3,355.0,4
5836,Jeep,62662,Gasoline,5-Speed Automatic,23000,3.6,331.6983232435877,10
5837,GMC,59528,Gasoline,6-Speed Automatic,38095,6.2,331.6983232435877,6
5838,Toyota,8400,Gasoline,A/T,42500,2.4,228.0,2
5839,Volkswagen,87000,Gasoline,6-Speed A/T,14599,2.0,200.0,10
5840,BMW,68500,Gasoline,7-Speed A/T,17800,5.0,500.0,16
5842,Audi,49650,Gasoline,Transmission w/Dual Shift Mode,53499,2.0,252.0,6
5843,Cadillac,66200,Gasoline,6-Speed A/T,6499,3.0,270.0,13
5846,Ford,95570,Gasoline,6-Speed A/T,3950,5.4,300.0,16
5847,Jeep,54225,Gasoline,A/T,45000,3.6,285.0,4
5848,Lexus,40000,Gasoline,8-Speed A/T,52000,3.5,295.0,3
5849,Ford,73000,Gasoline,6-Speed A/T,18000,3.5,365.0,8
5850,Dodge,141800,Gasoline,A/T,2900,4.7,230.0,19
5851,BMW,33000,Gasoline,7-Speed A/T,65000,3.0,425.0,9
5852,Mercedes-Benz,73000,Gasoline,7-Speed A/T,17800,3.5,268.0,16
5853,BMW,99500,Gasoline,Transmission w/Dual Shift Mode,28700,4.4,560.0,9
5855,Ford,13700,Gasoline,CVT Transmission,39500,2.5,191.0,4
5856,Mercedes-Benz,49688,Gasoline,A/T,38000,4.0,416.0,8
5857,Ford,114323,Gasoline,6-Speed A/T,26000,5.4,310.0,12
5858,Jeep,79635,Gasoline,5-Speed A/T,24995,3.6,285.0,7
5859,Land,101800,Gasoline,A/T,17000,5.0,510.0,13
5860,INFINITI,96800,Gasoline,7-Speed A/T,18900,5.6,400.0,7
5861,BMW,98000,Gasoline,8-Speed A/T,18900,3.0,300.0,11
5864,Jeep,10458,Gasoline,8-Speed Automatic,27899,3.6,331.6983232435877,5
5866,Ford,71448,Gasoline,4-Speed A/T,9500,3.8,200.0,23
5867,BMW,56000,Gasoline,7-Speed A/T,50000,4.4,560.0,9
5869,Mercedes-Benz,24500,Gasoline,A/T,48000,2.0,255.0,2
5870,Ford,160000,Gasoline,A/T,5500,4.0,210.0,16
5871,Chrysler,74582,Gasoline,A/T,12500,3.6,283.0,15
5872,Mercedes-Benz,53500,Gasoline,7-Speed A/T,40200,4.0,469.0,6
5873,Chevrolet,75151,Gasoline,8-Speed A/T,43000,6.2,455.0,6
5874,Nissan,91545,Gasoline,6-Speed A/T,12000,2.5,175.0,12
5875,Toyota,173452,Gasoline,A/T,6500,1.5,106.0,19
5876,Chevrolet,31917,Gasoline,10-Speed Automatic,64683,6.2,331.6983232435877,2
5878,Hummer,130000,Gasoline,4-Speed A/T,9500,6.0,325.0,18
5879,Kia,106000,Gasoline,A/T,13900,2.7,173.0,14
5880,Ford,13700,Gasoline,6-Speed M/T,42900,5.0,460.0,3
5882,Audi,96800,Gasoline,A/T,12000,2.0,211.0,13
5883,Ford,24280,E85 Flex Fuel,A/T,39500,6.2,385.0,7
5884,Jeep,22000,Hybrid,8-Speed A/T,45000,3.6,285.0,2
5885,Jeep,136731,Gasoline,A/T,8500,3.8,202.0,14
5886,Audi,92203,Gasoline,Transmission w/Dual Shift Mode,9995,2.0,211.0,13
5887,Chevrolet,170443,Electric,A/T,6000,3.716927534611586,331.6983232435877,30
5888,GMC,122961,Gasoline,6-Speed Automatic,39985,3.6,331.6983232435877,9
5889,Porsche,64800,Gasoline,Transmission w/Dual Shift Mode,46000,3.8,400.0,11
5890,BMW,110000,Gasoline,6-Speed A/T,6000,3.0,230.0,12
5891,Jeep,52775,Gasoline,8-Speed A/T,37000,3.6,285.0,6
5892,Subaru,73549,Gasoline,CVT Transmission,26990,2.0,152.0,6
5893,Nissan,185000,Gasoline,A/T,8500,3.5,260.0,13
5894,BMW,30450,Gasoline,Transmission w/Dual Shift Mode,52999,3.0,425.0,7
5895,Ford,74349,Gasoline,10-Speed A/T,28895,3.5,375.0,6
5896,Nissan,115000,Gasoline,A/T,14000,4.0,261.0,11
5897,Porsche,50000,Gasoline,A/T,16995,2.5,350.0,8
5898,Mercedes-Benz,93000,Gasoline,7-Speed A/T,7495,3.5,268.0,15
5899,Mercedes-Benz,127980,Gasoline,7-Speed A/T,14999,5.5,382.0,17
5900,Audi,95816,Gasoline,7-Speed A/T,12000,2.0,211.0,13
5901,Audi,61000,Gasoline,Transmission w/Dual Shift Mode,39499,2.0,252.0,6
5902,Mercedes-Benz,44486,Gasoline,7-Speed Automatic with Auto-Shift,62595,2.0,331.6983232435877,4
5903,Ford,68749,Diesel,6-Speed A/T,47850,6.7,450.0,5
5904,Mercedes-Benz,62662,Gasoline,7-Speed A/T,18000,2.0,241.0,7
5906,Volkswagen,65000,Gasoline,6-Speed M/T,19950,2.0,220.0,6
5908,BMW,55250,Gasoline,6-Speed M/T,49999,3.0,425.0,8
5909,Dodge,256000,Gasoline,A/T,4000,5.7,345.0,18
5910,Mercedes-Benz,80000,Gasoline,A/T,21000,4.0,416.0,8
5911,Mercedes-Benz,60000,Gasoline,A/T,19500,2.0,241.0,9
5913,Chevrolet,135603,Gasoline,A/T,14900,1.8,136.0,13
5914,Mercedes-Benz,40000,Gasoline,9-Speed A/T,15500,4.0,603.0,5
5915,Acura,90367,Gasoline,6-Speed M/T,6499,2.4,200.0,19
5919,Honda,137333,Gasoline,6-Speed M/T,4500,2.4,166.0,11
5920,Dodge,96000,Gasoline,8-Speed A/T,34000,5.7,372.0,7
5921,Jeep,161900,E85 Flex Fuel,A/T,4800,4.7,235.0,17
5922,Audi,98400,Gasoline,8-Speed A/T,11499,3.0,280.0,10
5923,Nissan,160490,Electric,A/T,4500,3.716927534611586,331.6983232435877,28
5924,Ford,156193,Gasoline,4-Speed A/T,7700,4.0,210.0,20
5925,Audi,27123,Hybrid,A/T,38900,3.0,335.0,4
5926,BMW,76474,Gasoline,6-Speed A/T,37000,4.4,445.0,9
5927,Mercedes-Benz,73000,Gasoline,A/T,20000,5.5,510.0,19
5928,Toyota,153000,Hybrid,A/T,7700,2.4,147.0,17
5929,Subaru,68000,Gasoline,M/T,21500,2.0,268.0,7
5930,Cadillac,51808,Gasoline,10-Speed A/T,57480,6.2,420.0,3
5931,RAM,106385,Gasoline,6-Speed A/T,37900,6.7,385.0,16
5932,Ford,24114,Gasoline,5-Speed M/T,41986,5.2,760.0,6
5933,BMW,90067,Gasoline,8-Speed Automatic,43860,2.0,331.6983232435877,5
5934,Land,58000,Gasoline,Transmission w/Dual Shift Mode,55600,5.0,550.0,7
5935,Mercedes-Benz,62000,Gasoline,7-Speed A/T,30000,4.0,469.0,8
5936,BMW,45253,Gasoline,Transmission w/Dual Shift Mode,24995,2.0,247.0,5
5938,Toyota,89500,Gasoline,A/T,32999,5.7,381.0,8
5939,Hyundai,135000,Gasoline,A/T,13995,2.4,198.0,14
5941,Chevrolet,66840,Gasoline,A/T,12000,5.3,300.0,20
5942,BMW,89000,Gasoline,8-Speed A/T,28895,3.0,300.0,8
5943,Toyota,183000,Gasoline,6-Speed A/T,15000,5.7,381.0,13
5944,Volvo,38360,Gasoline,8-Speed Automatic,26499,2.0,331.6983232435877,4
5945,Audi,22300,Gasoline,8-Speed A/T,37999,3.0,349.0,5
5947,Land,170000,Gasoline,A/T,5000,3.2,230.0,14
5948,Toyota,23600,Hybrid,A/T,25500,2.5,200.0,6
5949,Jaguar,106000,Gasoline,A/T,19000,5.0,385.0,12
5950,Ford,315000,Diesel,A/T,26999,6.0,325.0,21
5952,Jeep,143000,Gasoline,A/T,3200,3.7,210.0,20
5953,Porsche,89700,Gasoline,A/T,9800,3.6,300.0,13
5954,INFINITI,80211,Gasoline,A/T,15999,5.6,400.0,10
5955,BMW,119000,Gasoline,A/T,15000,3.0,300.0,18
5957,BMW,60255,Gasoline,6-Speed M/T,26600,3.2,333.0,11
5958,Ford,122650,Diesel,6-Speed A/T,6999,6.7,450.0,13
5959,Mercedes-Benz,22000,Hybrid,Transmission w/Dual Shift Mode,62900,3.0,429.0,4
5960,Jeep,35580,Gasoline,8-Speed Automatic,49500,3.6,331.6983232435877,3
5961,Mercedes-Benz,83112,Gasoline,7-Speed A/T,13500,3.5,302.0,10
5962,Dodge,156856,Gasoline,5-Speed A/T,14500,3.7,210.0,14
5963,Lincoln,95000,Gasoline,4-Speed A/T,12500,3.5,240.0,21
5964,Chevrolet,64776,Gasoline,A/T,5000,3.8,200.0,23
5966,Mazda,124000,Gasoline,A/T,12500,2.0,155.0,9
5967,Mazda,113000,Gasoline,6-Speed A/T,5699,2.3,263.0,16
5968,BMW,46000,Gasoline,Transmission w/Dual Shift Mode,56999,4.4,567.0,6
5969,BMW,59300,Gasoline,6-Speed M/T,21500,3.0,215.0,18
5970,Chevrolet,67522,Gasoline,6-Speed A/T,37500,5.3,355.0,7
5971,Ford,64500,Gasoline,10-Speed A/T,44000,5.0,460.0,5
5972,Chevrolet,98300,Gasoline,6-Speed A/T,15000,6.0,400.0,17
5973,Audi,54300,Gasoline,Transmission w/Dual Shift Mode,56900,4.0,605.0,3
5975,RAM,69423,Gasoline,8-Speed A/T,36500,5.7,395.0,4
5976,Kia,100730,Gasoline,A/T,8500,2.7,173.0,15
5977,Honda,95000,Gasoline,M/T,14900,2.2,237.0,16
5978,Ford,30500,Gasoline,10-Speed A/T,41999,3.5,375.0,3
5980,BMW,24158,Plug-In Hybrid,8-Speed A/T,32999,3.0,389.0,3
5981,RAM,142792,Gasoline,6-Speed A/T,26900,5.7,395.0,14
5982,Ford,39000,Gasoline,A/T,34995,2.7,325.0,4
5984,Audi,18100,Gasoline,8-Speed A/T,51800,3.0,349.0,3
5985,Mazda,7121,Gasoline,6-Speed Automatic,23105,2.5,331.6983232435877,3
5986,Land,65000,Gasoline,Transmission w/Dual Shift Mode,55000,3.0,340.0,6
5989,RAM,41000,Gasoline,8-Speed A/T,43500,6.4,410.0,4
5990,BMW,94653,Gasoline,A/T,14500,4.8,360.0,16
5991,Chevrolet,91843,Gasoline,A/T,12500,6.2,426.0,9
5992,Mazda,94000,Electric,6-Speed M/T,25500,3.716927534611586,331.6983232435877,32
5993,Jeep,131100,Gasoline,5-Speed A/T,12995,3.6,285.0,8
5994,BMW,24108,Gasoline,8-Speed A/T,54900,3.0,335.0,3
5995,Ford,122000,Gasoline,6-Speed A/T,13200,3.7,305.0,10
5996,Buick,19079,Hybrid,A/T,10000,2.4,182.0,12
5997,Dodge,39960,Gasoline,8-Speed A/T,28500,5.7,375.0,3
5998,Toyota,68364,Gasoline,5-Speed A/T,40500,4.0,270.0,6
6000,Lexus,99524,Gasoline,8-Speed A/T,24900,4.6,386.0,11
6001,Chevrolet,239000,Gasoline,A/T,8000,5.7,310.0,28
6002,Chevrolet,89000,Gasoline,A/T,10400,3.8,200.0,22
6003,Maserati,22500,Gasoline,8-Speed A/T,28999,3.0,424.0,6
6005,BMW,12800,Gasoline,8-Speed A/T,29000,2.0,248.0,2
6006,Lexus,54000,Gasoline,6-Speed A/T,26500,4.6,301.0,9
6007,BMW,65750,Gasoline,Transmission w/Dual Shift Mode,22500,4.0,414.0,13
6008,Subaru,107500,Gasoline,M/T,16500,2.0,268.0,9
6010,Audi,65680,Hybrid,A/T,42900,3.0,335.0,5
6011,MINI,34988,Gasoline,6-Speed A/T,22800,2.0,228.0,7
6012,Ford,36500,Gasoline,10-Speed A/T,41100,3.5,375.0,4
6013,BMW,7200,Gasoline,A/T,64000,3.0,425.0,6
6014,Honda,29000,Gasoline,CVT Transmission,19000,2.4,166.0,6
6015,Chevrolet,12000,Gasoline,10-Speed A/T,39000,3.6,335.0,3
6017,Ford,95000,Gasoline,6-Speed A/T,20000,3.5,290.0,7
6018,Audi,50400,Gasoline,A/T,28500,2.0,252.0,6
6019,Cadillac,225000,Gasoline,6-Speed A/T,19500,2.5,202.0,8
6020,Genesis,12500,Gasoline,8-Speed A/T,29999,3.5,375.0,2
6021,Cadillac,146000,E85 Flex Fuel,6-Speed A/T,21500,6.2,403.0,12
6022,Chevrolet,23250,Gasoline,6-Speed M/T,35000,6.2,455.0,6
6023,Volvo,43000,Gasoline,A/T,40000,2.0,316.0,7
6025,Maserati,49750,Gasoline,Transmission w/Dual Shift Mode,27995,3.0,404.0,5
6026,BMW,52500,Gasoline,8-Speed A/T,30950,3.0,300.0,6
6027,BMW,114528,Gasoline,A/T,5699,4.8,360.0,16
6028,Ford,117000,Gasoline,A/T,28000,3.5,310.0,6
6029,BMW,24650,Gasoline,Transmission w/Dual Shift Mode,44850,4.0,420.0,10
6030,Chevrolet,154860,Gasoline,A/T,8700,5.7,310.0,14
6032,Ford,17500,Gasoline,A/T,46000,2.7,325.0,2
6034,Mazda,124700,Gasoline,Transmission w/Dual Shift Mode,6900,2.3,156.0,16
6035,Jeep,9642,Gasoline,8-Speed A/T,40999,3.6,285.0,2
6036,Ford,92000,Gasoline,6-Speed A/T,19900,3.5,290.0,7
6038,Lexus,26100,Gasoline,A/T,37899,3.5,295.0,4
6039,Lincoln,23152,Gasoline,A/T,44500,2.7,335.0,2
6040,Chrysler,107000,Gasoline,A/T,24000,3.5,250.0,19
6041,MINI,90367,Gasoline,6-Speed M/T,7850,1.6,118.0,19
6042,Chevrolet,8025,Gasoline,Automatic,35670,3.6,331.6983232435877,5
